Time Stamp,RRI,Passed Time
170312,799,731210
170312,601,731811
170313,701,732512
170314,602,733114
170314,697,733811
170315,803,734614
170316,797,735411
170317,703,736114
170317,796,736910
170318,702,737612
170319,699,738311
170319,700,739011
170320,603,739614
170321,697,740311
170322,802,741113
170322,898,742011
170323,903,742914
170324,799,743713
170325,1002,744715
170326,795,745510
170327,901,746411
170328,802,747213
170328,701,747914
170329,696,748610
170330,705,749315
170330,695,750010
170331,704,750714
170332,696,751410
170333,802,752212
170333,701,752913
170334,797,753710
170335,704,754414
170336,696,755110
170336,703,755813
170337,696,756509
170338,702,757211
170338,702,757913
170339,899,758812
170340,799,759611
170341,800,760411
170342,804,761215
170342,696,761911
170343,699,762610
170343,401,763011
170344,301,763312
170344,701,764013
170345,698,764711
170346,802,765513
170347,697,766210
170348,1400,767610
170349,604,768214
170349,600,768814
170350,798,769612
170351,800,770412
170352,701,771113
170352,799,771912
170353,898,772810
170354,701,773511
170355,699,774210
170355,700,774910
170356,704,775614
170357,597,776211
170357,701,776912
170358,602,777514
170359,600,778114
170359,700,778814
170400,597,779411
170401,701,780112
170401,700,780812
170402,700,781512
170403,803,782315
170404,998,783313
170404,400,783713
170405,802,784515
170406,697,785212
170406,598,785810
170407,702,786512
170408,702,787214
170408,596,787810
170409,703,788513
170410,597,789110
170410,801,789911
170411,699,790610
170412,801,791411
170413,699,792110
170413,701,792811
170414,800,793611
170415,799,794410
170416,804,795214
170417,896,796110
170417,804,796914
170418,696,797610
170419,803,798413
170420,696,799109
170420,902,800011
170421,800,800811
170422,903,801714
170423,700,802414
170424,799,803213
170424,700,803913
170425,900,804813
170426,897,805710
170427,700,806410
170428,804,807214
170428,800,808014
170429,899,808913
170430,797,809710
170431,801,810511
170432,801,811312
170432,697,812009
170433,802,812811
170434,799,813610
170435,902,814512
170436,897,815409
170437,904,816313
170438,799,817112
170438,800,817912
170439,798,818710
170440,802,819512
170441,798,820310
170441,702,821012
170442,900,821912
170443,799,822711
170444,800,823511
170445,700,824211
170445,798,825009
170446,802,825811
170447,799,826610
170448,700,827310
170449,801,828111
170449,698,828809
170450,801,829610
170451,599,830209
170451,804,831013
170452,796,831809
170453,803,832612
170454,797,833409
170455,703,834112
170455,699,834811
170456,699,835510
170457,600,836110
170457,699,836809
170458,703,837512
170459,698,838210
170459,700,838910
170500,603,839513
170501,697,840210
170501,703,840913
170502,699,841612
170503,697,842309
170503,601,842910
170504,702,843612
170505,697,844309
170505,701,845010
170506,804,845814
170507,696,846510
170508,701,847211
170508,603,847814
170509,594,848408
170510,705,849113
170510,699,849812
170511,700,850512
170512,701,851213
170512,598,851811
170513,699,852510
170514,603,853113
170514,700,853813
170515,596,854409
170516,700,855109
170516,701,855810
170517,700,856510
170518,803,857313
170518,696,858009
170519,602,858611
170520,698,859309
170520,603,859912
170521,701,860613
170522,697,861310
170522,703,862013
170523,695,862708
170524,803,863511
170525,797,864308
170526,803,865111
170526,698,865809
170527,601,866410
170527,603,867013
170528,698,867711
170529,700,868411
170530,698,869109
170530,702,869811
170531,703,870514
170532,594,871108
170532,602,871710
170533,703,872413
170534,797,873210
170534,699,873909
170535,800,874709
170536,704,875413
170536,600,876013
170537,699,876712
170538,696,877408
170539,705,878113
170539,796,878909
170540,700,879609
170541,804,880413
170542,796,881209
170542,704,881913
170543,700,882613
170544,700,883313
170545,796,884109
170545,802,884911
170546,801,885712
170547,701,886413
170548,699,887112
170548,796,887908
170549,805,888713
170550,700,889413
170551,700,890113
170551,799,890912
170552,600,891512
170553,697,892209
170553,703,892912
170554,799,893711
170555,801,894512
170556,800,895312
170557,801,896113
170557,800,896913
170558,799,897712
170559,698,898410
170600,799,899209
170600,804,900013
170601,700,900713
170602,796,901509
170603,804,902313
170603,699,903012
170604,800,903812
170605,801,904613
170606,599,905212
170606,699,905911
170607,601,906512
170608,700,907212
170608,800,908012
170609,701,908713
170610,700,909413
170610,599,910012
170611,600,910612
170612,596,911208
170612,800,912008
170613,704,912712
170614,700,913412
170615,799,914211
170616,898,915109
170616,801,915910
170617,800,916710
170618,903,917613
170619,796,918409
170620,704,919113
170620,695,919808
170621,803,920611
170622,701,921312
170622,700,922012
170623,601,922613
170624,696,923309
170624,699,924008
170625,600,924608
170626,701,925309
170626,698,926007
170627,601,926608
170628,703,927311
170629,801,928112
170629,798,928910
170630,799,929709
170631,802,930511
170632,701,931212
170632,697,931909
170633,704,932613
170634,694,933307
170634,701,934008
170635,600,934608
170636,703,935311
170636,697,936008
170637,702,936710
170638,798,937508
170639,700,938208
170639,704,938912
170640,696,939608
170641,699,940307
170642,801,941108
170642,802,941910
170643,698,942608
170644,803,943411
170645,802,944213
170646,897,945110
170646,698,945808
170647,700,946508
170648,700,947208
170648,699,947907
170649,704,948611
170650,696,949307
170650,701,950008
170651,704,950712
170652,696,951408
170653,700,952108
170653,700,952808
170654,800,953608
170655,703,954311
170655,701,955012
170656,695,955707
170657,701,956408
170658,700,957108
170658,699,957807
170659,704,958511
170700,696,959207
170700,600,959807
170701,705,960512
170702,697,961209
170702,603,961812
170703,699,962511
170704,696,963207
170704,705,963912
170705,597,964509
170706,703,965212
170706,696,965908
170707,701,966609
170708,703,967312
170708,699,968011
170709,597,968608
170710,700,969308
170710,600,969908
170711,702,970610
170712,702,971312
170712,696,972008
170713,801,972809
170714,603,973412
170715,696,974108
170715,703,974811
170716,797,975608
170717,703,976311
170718,800,977111
170718,799,977910
170719,697,978607
170720,602,979209
170720,599,979808
170721,716,980524
170722,687,981211
170722,697,981908
170723,699,982607
170724,799,983406
170725,905,984311
170726,799,985110
170726,698,985808
170727,699,986507
170728,805,987312
170729,797,988109
170729,798,988907
170730,802,989709
170731,799,990508
170732,703,991211
170732,697,991908
170733,698,992606
170734,704,993310
170735,800,994110
170735,902,995012
170736,696,995708
170737,799,996507
170738,803,997310
170739,899,998209
170739,700,998909
170740,798,999707
170741,701,1000408
170742,803,1001211
170742,697,1001908
170743,704,1002612
170744,698,1003310
170745,801,1004111
170745,801,1004912
170746,695,1005607
170747,800,1006407
170748,803,1007210
170748,698,1007908
170749,601,1008509
170750,701,1009210
170750,698,1009908
170751,802,1010710
170752,797,1011507
170753,904,1012411
170754,797,1013208
170754,702,1013910
170755,697,1014607
170756,800,1015407
170757,701,1016108
170757,700,1016808
170758,703,1017511
170759,799,1018310
170759,697,1019007
170800,701,1019708
170801,701,1020409
170802,699,1021108
170802,802,1021910
170803,798,1022708
170804,700,1023408
170805,700,1024108
170805,603,1024711
170806,696,1025407
170807,702,1026109
170807,700,1026809
170808,698,1027507
170809,700,1028207
170809,799,1029006
170810,701,1029707
170811,799,1030506
170812,702,1031208
170812,701,1031909
170813,798,1032707
170814,702,1033409
170815,699,1034108
170815,701,1034809
170816,602,1035411
170817,697,1036108
170817,701,1036809
170818,699,1037508
170819,700,1038208
170819,698,1038906
170820,702,1039608
170821,702,1040310
170822,798,1041108
170822,799,1041907
170823,700,1042607
170824,603,1043210
170824,697,1043907
170825,600,1044507
170826,602,1045109
170826,598,1045707
170827,702,1046409
170828,699,1047108
170828,701,1047809
170829,797,1048606
170830,704,1049310
170830,597,1049907
170831,703,1050610
170832,700,1051310
170832,697,1052007
170833,602,1052609
170834,701,1053310
170834,700,1054010
170835,799,1054809
170836,700,1055509
170837,599,1056108
170837,598,1056706
170838,699,1057405
170838,600,1058005
170839,705,1058710
170840,699,1059409
170841,699,1060108
170841,699,1060807
170842,599,1061406
170842,604,1062010
170843,698,1062708
170844,601,1063309
170845,801,1064110
170845,898,1065008
170846,802,1065810
170847,801,1066611
170848,895,1067506
170849,803,1068309
170850,800,1069109
170850,897,1070006
170851,799,1070805
170852,802,1071607
170853,803,1072410
170854,796,1073206
170854,803,1074009
170855,600,1074609
170856,801,1075410
170857,801,1076211
170857,798,1077009
170858,797,1077806
170859,903,1078709
170900,799,1079508
170901,903,1080411
170902,699,1081110
170902,796,1081906
170903,703,1082609
170904,796,1083405
170905,703,1084108
170905,799,1084907
170906,902,1085809
170907,896,1086705
170908,805,1087510
170909,896,1088406
170910,803,1089209
170911,898,1090107
170911,903,1091010
170912,898,1091908
170913,801,1092709
170914,798,1093507
170915,802,1094309
170916,799,1095108
170916,801,1095909
170917,898,1096807
170918,801,1097608
170919,799,1098407
170920,903,1099310
170921,899,1100209
170921,798,1101007
170922,803,1101810
170923,895,1102705
170924,800,1103505
170925,900,1104405
170926,806,1105211
170927,922,1106133
170927,872,1107005
170928,805,1107810
170929,798,1108608
170930,901,1109509
170931,701,1110210
170931,699,1110909
170932,798,1111707
170933,803,1112510
170934,797,1113307
170935,801,1114108
170935,899,1115007
